iso,places,counts,latlongs
UZB,['Tashkent'],[1],['(41.3123363|69.2787079)']
VEN,"['Barcelona', 'Los Teques', 'La Cruz', 'Caracas', 'Margarita Island|Nueva Esparta', 'Punto Fijo', 'San Cristobal', 'Puerto Ordaz']","[1, 1, 2, 21, 2, 2, 5, 1]","['(10.1325951|-64.6819583)', '(10.3437382|-67.0453091)', '(10.3609711|-66.3151258)', '(10.5060934|-66.9146008)', '(11.0205596|-63.90739842745219)', '(11.6931716|-70.1917178)', '(7.7756663|-72.2214154)', '(8.2750351|-62.7558263)']"
VGB,['Tortola'],[1],['(18.42105685|-64.63883251023499)']
VIR,"['Fredriksted|St. Croix', 'St. Thomas']","[2, 7]","['(17.712605|-64.889959)', '(49.4972|3.82019)']"
VNM,"['Cần Thơ', 'Chợ Lớn|Saigon', 'Ho Chi Minh City', 'Saigon', 'Binh Thuan province|Binh Thuan province', 'Bình Dương', 'Hanoi', 'Bắc Ninh', 'Lang Son', 'Tra Vinh']","[4, 1, 8, 7, 1, 1, 6, 1, 1, 4]","['(10.0364216|105.7875219)', '(10.7514918|106.6604732)', '(10.7758439|106.7017555)', '(10.776325|106.7012016)', '(10.93341|108.045227)', '(15.3376317|108.7688042)', '(21.0294498|105.8544441)', '(21.1781515|106.0710078)', '(21.8528759|106.7597458)', '(9.9355829|106.3397849)']"
VUT,['Port-Vila'],[1],['(-17.7414972|168.3150163)']
WSM,['Apia'],[2],['(-13.8343691|-171.7692793)']
YEM,['Aden'],[7],['(12.789585|45.028504)']
ZAF,"['Tzaneen', 'Rustenburg', 'Pretoria, Cape Town, Bloemfontein', 'Pretoria|Gauteng', 'Mafikeng|North West', 'Krugersdorp', 'Alexandra Township|Gauteng', 'Randfontein', 'Benoni|Gauteng', 'Johannesburg|Gauteng', 'Boksburg', 'Soweto', 'Springs', 'Alberton|Johannesburg', 'Gauteng', 'Potchefstroom|North West', 'Klerksdorp', 'Paulpietersburg|KwaZulu-Natal', 'Kroonstad', 'Newcastle', 'Harrismith|Free State', 'Upington', 'Eshowe', 'KwaZulu-Natal', 'Durban|Natal', 'Umlazi', 'Mthatha', 'Mvezo|Cape Province', 'Beaufort West', 'New Brighton|Port Elizabeth', 'Fort Beaufort', 'East London|Eastern Cape', 'Port Alfred|Eastern Cape', 'Worcester', 'Cape Town|Western Cape', 'Port Elizabeth', 'Transvaal|South Africa [now Gauteng']","[1, 1, 30, 8, 2, 1, 2, 1, 4, 52, 1, 5, 2, 2, 3, 1, 4, 1, 2, 1, 1, 5, 1, 2, 11, 4, 3, 2, 1, 2, 3, 1, 1, 1, 44, 6, 2]","['(-23.8319444|30.1611111)', '(-25.665655|27.241448)', '(-25.7459|28.1879)', '(-25.7459277|28.1879101)', '(-25.863611|25.658611)', '(-26.095556|27.775556)', '(-26.168729|28.089214)', '(-26.173611|27.694167)', '(-26.1930356|28.3082376)', '(-26.205|28.049722)', '(-26.2124639|28.2617471)', '(-26.2227778|27.89)', '(-26.243056|28.431667)', '(-26.2529561|28.1270777)', '(-26.270759|28.112268)', '(-26.7150922|27.1013887)', '(-26.8625383|26.6656814)', '(-27.434722|30.809167)', '(-27.6532701|27.235515)', '(-27.762778|29.923889)', '(-28.273046049999998|29.1284190811136)', '(-28.456325|21.241867)', '(-28.889191|31.4704425)', '(-29.603548|30.37606)', '(-29.861825|31.009909)', '(-29.9525|30.900278)', '(-31.589075|28.789145)', '(-31.961261|28.49144)', '(-32.353611|22.580556)', '(-32.72464455|25.597035712641855)', '(-32.7766075|26.6333138)', '(-33.0191604|27.8998573)', '(-33.5981844|26.8914772)', '(-33.646238|19.445927)', '(-33.928992|18.417396)', '(-33.9617051|25.6207519)', '(45.7396835|4.8782324)']"
ZMB,"['Kitwe', 'Lusaka']","[1, 1]","['(-12.8104186|28.2068361)', '(-15.4164124|28.2824793)']"
ZWE,['Harare'],[14],['(-17.831773|31.045686)']
